80
828384|MBA Finance Presentation Round|2|20260309|1300|1600|906|0|0|22
929394|Medical Pathology Lab Session|1|20260310|0800|1100|1107|0|0|16
103040|Senate Board Meeting March|1|20260311|1000|1200|1304|0|0|50
203050|Electrical Power Systems Lab|1|20260312|1300|1600|207|0|0|20
304060|Mathematics Statistics Lab|2|20260313|0900|1100|607|0|0|30
405060|Networking Lab Morning Slot|1|20260401|0800|1000|108|0|0|20
506070|Programming Lab A Session|1|20260401|1000|1200|106|0|0|20
607080|CS Lecture Hall Exam|1|20260401|1300|1600|102|0|0|55
708090|Chemistry Organic Exam|1|20260402|0800|1100|405|0|0|20
809010|Biochemistry Lab Block|1|20260402|1100|1300|709|0|0|20
910111|Physics Lecture Exam|1|20260402|1400|1700|103|0|0|55
111213|Robotics Lab Morning|1|20260403|0800|1200|208|0|0|15
141516|Robotics Lab Afternoon|2|20260403|1300|1700|208|0|0|15
171819|Moot Court Finals|1|20260403|0900|1700|802|0|0|30
202122|Genetics Lab Morning|1|20260404|0800|1100|706|0|0|16
232425|Genetics Lab Afternoon|2|20260404|1300|1600|706|0|0|16
262728|Senate Emergency Meeting|1|20260404|1000|1200|1303|0|0|80
293031|Trading Sim Round 2 AM|2|20260407|0800|1000|905|0|0|20
313233|Trading Sim Round 2 PM|2|20260407|1300|1500|905|0|0|20
343536|Fluid Mechanics Exam|1|20260407|1000|1200|307|0|0|24
373839|CAD CAM Final Submission|1|20260408|0800|1200|309|0|0|18
404142|Power Systems Lab Full Day|1|20260408|1300|1700|207|0|0|20
434445|PhD Viva Room A Morning|1|20260409|0800|1100|1211|0|0|5
464748|PhD Viva Room B Morning|1|20260409|0800|1100|1212|0|0|5
495051|PhD Viva Room A Afternoon|1|20260409|1300|1600|1211|0|0|5
525253|Clinical Skills Exam|1|20260410|0800|1200|1104|0|0|18
555657|Simulation Ward Drill|1|20260410|1300|1700|1105|0|0|20
585960|Spectroscopy Lab Block|1|20260411|0800|1100|408|0|0|16
616263|Statistics Exam Hall K|1|20260411|1300|1600|602|0|0|55
646566|AI Lab Full Day Sprint|1|20260414|0800|1700|110|0|0|35
676869|Legal Affairs Hearing|1|20260414|1000|1200|1308|0|0|30
707172|Medical Dissection Lab|1|20260415|0800|1200|1106|0|0|16
737475|Pharmacology Exam Lab|1|20260415|1300|1600|1109|0|0|18
767778|Board Extraordinary Session|1|20260416|0900|1700|1304|0|0|50
798081|Quantum Physics Final Exam|1|20260417|0800|1100|505|0|0|18
828485|Programming Lab B Final|1|20260417|1300|1600|107|0|0|20
858687|CS Networking Final Exam|1|20260422|0800|1100|108|0|0|20
898990|Postgrad Research Symposium|2|20260503|0900|1700|1303|0|0|100
909192|Biomedical Conference|2|20260610|0900|1700|702|0|0|60
919293|Faculty Dev Retreat|3|20260715|0900|1700|1313|0|0|40
929495|Robotics Final Demo|2|20260820|1000|1600|208|0|0|20
939596|New Semester Briefing|1|20260902|0800|1000|101|0|0|80
949697|Research Grant Seminar|2|20261015|1000|1200|1310|0|0|35
959798|End Semester Review|2|20261110|1300|1600|604|0|0|45
969899|Graduation Rehearsal|1|20261201|0900|1700|1303|0|0|200
